Type,ID,Name,Gender,DOB,Father,Mother,Pedigree Database #,GSDOG #,Renter,Display After
,adel,Страпинг Феллоу Адель,,,,,,,,
,adelina,Фонте Фиделити Аделина,f,2015-01-31,eiko,mabari,2339100,,,ando
b,aleks,Ersteshrit Aleks,m,2015-04-08,count,kaja,2466950,28512,,
,aike,Aike,,,arex,troya,,,,
b,alisha,Фонте Фиделити Алиша,f,2015-01-31,eiko,mabari,2339101,,,antei
,anabel,Anabel vom Sofienwald,,,,,,,,
,ando,Фонте Фиделити Андо,m,2015-01-31,eiko,mabari,2339097,,,alisha
,antei,Фонте Фиделити Антей,m,2015-01-31,eiko,mabari,2339099,,,
,ankaa,Ankaa vom Nadelhaus,,,,,,,,
,arex,Arex vom Herbramer-Wald,,,,,,,,
,armour,Armour from Lannasland,,,phill,aike,,,,
,ballack,Ballack von Aurelius,,,,,,,,
,baltasar,Baltasar vom Osterberger-Land,m,,,,,,,
,bazi,Bazi von der Urbecke,,,quando,ertha,,,,
,bosca,Bosca di Fosco Aidas,f,,,,,,,
,bosko,Фонте Фиделити Боско,m,2015-07-17,eiko,undina,2417587,,,adelina
,britta,Britta vom Ritterberg,f,,,,,,,
,buster,Buster aus der Brunnenstraße,,,,,,,,
,carina,Carina vom Wildsteiger Landhaus,,,larus,nata,,,,
,cleo,Cleo van der Lust,,,,,,,,
,corlet,Corlet No Bartas Krasta,f,,,,,,,
,conny,Conny vom Haus Portofino,,,zamp,carina,,,,
,corsa,Corsa all’oro di Fosco Aidas,f,,rhyscher,bosca,,,,
,count,Count Ustinov van de Ybajo Hoeve,,,ustinov,opal,,,,
,daimond,Фонте Фиделити Даймонд,m,2016-05-21,eiko,danaya,2553014,,,deiko
r,danaya,Фанхил Хаус Даная,f,2013-08-30,eltoro,hillari,2069515,25364,,mabari
,dasty,Dasty von Melanchthon,m,,remo,zad,,,,
,deiko,Фонте Фиделити Дейко,m,2016-05-21,eiko,danaya,2553015,,,greit
r,demetra,Фанхил Хаус Деметра,f,2013-08-30,eltoro,hillari,2069514,25363,,danaya
,devil,Devil von Santamar,,,,,,,,
,dux,Dux della Valcuvia,,,,,,,,
b,eiko,Eiko vom Haus Portofino,m,2007-07-10,bazi,conny,558835,,Баларис,itan
,elisei,Фонте Фиделити Елисей,m,2016-10-24,eiko,demetra,2594228,,,daimond
,eltoro,Atsel Hof El-Toro,,,siska,rouk,,,,
,fler,Ацель Хоф Флер,f,,,,,,,
,hardena,Hardena no Bartas Krasta,f,,sirio,corlet,,,,
,hilton,Endrefalva Hilton,,,ulk,riply,,,,
,elim,Elim vom Overledingerland,m,,paer,zimba,,,,
,ertha,Ertha von der Urbecke,,,yasko,malte,,,,
,evita,Evita van de Ybajo Hoeve,,,,,,,,
,fanta,Фанта оф Флокиш Фест,,,heiko,adel,,,,
,fenia,Fenia degli Achei,,,,,,,,
,flex,Flex von Tronje,,,,,,,,
,floro,Floro degli Achei,,,quenn,fenia,,,,
,gaidar,Леге Артис Гайдар,,,,,,,,
,gambo,Фонте Фиделити Гамбо,m,2016-02-01,zakhar,mabari,2695110,,,vivat
,ghandi,Ghandi von Arlett,,,,,,,,
,gvendi,Фонте Фиделити Гвенди,f,2016-02-01,zakhar,mabari,,,,kalista
,goldi,Фонте Фиделити Голди,m,2016-02-01,zakhar,mabari,2695107,,,gambo
,greit,Фонте Фиделити Грейт,m,2016-02-01,zakhar,mabari,2619808,,,goldi
,handa,Handa von der Urbecke,,,,,,,,
,helios,Helios di Fosco Aidas,m,,ulkan,corsa,2460263,31476,,
r,hasso,Фанхил Хаус Хассо,m,2007-06-06,thor,kvina,574451,12847,,eiko
,heiko,Aranyvölgyi-Örseg Heiko,,,,,,,,
r,hillari,Фанхил Хаус Хиллари,f,2007-06-06,thor,kvina,574533,13729,,viviana
b,inessa,Фонте Фиделити Инесса,f,2017-04-26,aleks,demetra,2647833,,,zheneva
,ingur,Фонте Фиделити Ингур,m,2017-04-26,aleks,demetra,2647829,,,isabel
,intriga,Weitenshof Intriga,f,,cleo,baltasar,,,,
,isabel,Фонте Фиделити Изабель,f,2017-04-26,aleks,demetra,2647826,,,zhasmina
,iskander,Фонте Фиделити Искандер,m,2017-04-26,aleks,demetra,2647828,,,ingur
b,itan,Фонте Фиделити Итан,m,2017-04-26,aleks,demetra,2647827,30940,,aleks
,jilla,Jilla von der Urbecke,,,bazi,handa,,,,
,kaja,Kaja von der Urbecke,,,pacco,jilla,,,,
,kalista,Фонте Фиделити Калиста,f,2017-06-05,aleks,danaya,2697048,,,sigbert
,kamila,Фонте Фиделити Камила,f,2017-06-25,aleks,danaya,2696790,,,kassandra
,karats,Karat’s Ulk,,,ghandi,lilskan,,,,
,kassandra,Фонте Фиделити Кассандра,f,2017-06-25,aleks,danaya,2695099,,,iskander
,kitty,Kitty vom Friedenspark,,,dux,zenta,,,,
,kira,Kira von Lacroz,,,,,,,,
,kolumbus,Asto vom Kolumbus,m,,,,,,,
,kuba,Kuba Feetback,,,vegas,selma,,,,
,kvina,Квантум Квина,,,hilton,fanta,,,,
,larus,Larus von Batu,,,,,,,,
,lagerta,Фонте Фиделити Лагерта,f,2017-09-07,aleks,pantera,2697073,,,kamila
,landos,Landos vom Quartier Latin,m,,,,,,,
,lankaster,Фонте Фиделити Ланкастер,m,2017-09-07,aleks,pantera,2697063,,,lagerta
,legenda,Фонте Фиделити Легенда,f,2017-09-07,aleks,pantera,2697078,,,levadia
,levadia,Фонте Фиделити Левадия,f,2017-09-07,aleks,pantera,2697076,,,lankaster
,lew,Lew vom Ritterberg,m,,elim,britta,,,,
,lilskan,Lilskan Never Give Up,,,,,,,,
r,mabari,Фанхил Хаус Мабари,f,2011-01-21,zearo,kvina,705217,21008,,hillari
,maestro,Maestro vom Osterberger-Land,,,,,,,,
,malte,Malte von der Urbecke,,,,,,,,
,mary,Mary della Valcuvia,,,,,,,,
,maybach,Maybach Tigback Hof,,,ober,kuba,1930342,26890,,
,melinda,Melinda vom Niemberger Eck,,,,,,,,
,merlinmonro,Antenor Hof Merlin Monro,,,buster,umathurman,,,,
,maraj,Atsel Hof Maraj,,,,,,,,
,nalmira,Антенор Хоф Нальмира,,,eiko,merlinmonro,2806898,30604,,
,nando,Nando vom Gollerweiher,,,,,,,,
,nannila,Nannila von der Freiheit Westerholt,,,,,,,,
,nata,Nata vom Wildsteiger Land,,,,,,,,
,nera,Nera di Casa Nobili,f,,,,,,,
b,nikoletta,Фанхил Хаус Николетта,f,2014-07-26,eiko,hillari,2230345,26656,,
b,olivia,Фонте Фиделити Оливия,f,2018-03-22,aleks,mabari,2813203,,,inessa
,ober,Ober della Valcuvia,,,zamp,mary,,,,
,opal,Opal van de Ybajo Hoeve,,,nando,evita,,,,
,pacco,Pacco vom Langenbungert,,,remo,ankaa,,,,
,paer,Paer vom Hasenborn,m,,,,,,,
b,palmira,Фонте Фиделити Пальмира,f,2018-06-29,aleks,nikoletta,2791393,,,olivia
,pantera,Пантера с Нижней Камы,f,,lew,tsefeya,,34530,,
,persei,Фонте Фиделити Персей,m,2018-06-29,aleks,nikoletta,2791385,,,legenda
,phill,Phill van der Lust,,,devil,cleo,,,,
,quando,Quando vom Sofienwald,,,flex,anabel,,,,
,quantum,Quantum von Arminius,,,,,,,,
,quenn,Quenn vom Löher Weg,,,,,,,,
,remo,Remo vom Fichtenschlag,,,,,,,,
,rhyscher,Rhyscher von Arlett,m,,,,,,,
,rouk,Atsel Hof Rouk,,,ballack,maraj,,,,
,riply,Endrefalva Riply,,,,,,,,
,selma,Selma Feetback,,,,,,,,
,siska,Siska von der Freiheit Westerholt,,,maestro,nannila,,,,
,sigbert,Фонте Фиделити Сигберт,m,2018-09-10,aleks,zhakardi,2813175,,,ulana
,sirio,Sirio della Real Favorita,m,,,,,,,
,tekila,Фонте Фиделити Текила,f,2019-05-21,aleks,demetra,2894363,,,persei
,titan,Фанхил Заус Титан,f,,kolumbus,kvina,,,,
,tsefeya,Цефея Звезда фом Нордишен Хоф,f,,zhak,fler,,,,
,thor,Thor vom Friedenspark,,,karats,kitty,,,,
,troya,Troya Legendhof,,,,,,,,
